id,event_name,category,city,start_date,start_time,end_time,longitude,latitude,min_ticket_price,max_ticket_price
172,"Change Management Classroom Training in Indianapolis, IN",Career,"Indianapolis, IN",5/10/2022,9:00,17:00,-86.2767995,39.9831886,749.00 USD,749.00 USD
173,"Agile & Scrum Classroom Training in Indianapolis, IN",Career,"Indianapolis, IN",6/24/2022,9:00,17:00,-86.2767995,39.9831886,899.00 USD,899.00 USD
174,"Business Case Writing Classroom Training in Indianapolis, IN",Career," Indianapolis, IN",6/4/2022,9:00,17:00,-86.2767995,39.9831886,899.00 USD,899.00 USD
175,"Change Management Classroom Training in Indianapolis, IN",Career,"Indianapolis, IN",7/22/2022,9:00,17:00,-86.2767995,39.9831886,899.00 USD,899.00 USD
176,"Conflict Management Classroom Training in Indianapolis, IN",Career,"Indianapolis, IN",5/19/2022,9:00,17:00,-86.2767995,39.9831886,999.00 USD,999.00 USD
177,"Conflict Management Classroom Training in Indianapolis, IN",Career,"Indianapolis, IN",5/27/2022,9:00,17:00,-86.2767995,39.9831886,799.00 USD,799.00 USD
178,Beyond the Basics: The Artsy Stuff!  A 3 Hour Journey of Photo Expression!,Other,Carmel,5/27/2022,14:00,17:00,-86.2056644,39.9777038,98.00 USD,98.00 USD
179,Joy's House Gardening Part 2,,Indianapolis,5/27/2022,10:00,13:00,-86.1312077,39.7063384,,
180,NGT 2022,Basketball,Indianapolis,5/27/2022,18:00,18:00,-85.9989475,39.7921735,15.00 USD,25.00 USD
181,Barbecue & Bourbon - Instructional Cooking Class,Food & Drink,Carmel,5/27/2022,18:00,21:00,-86.1463395,39.9769745,100.00 USD,175.00 USD
182,Posh Wedding Planning Event July 2022,Fashion & Beauty,Carmel,5/27/2022,18:00,21:00,-86.117897,39.9634914,10.00 USD,10.00 USD
183,Summertime in Paris - Instructional Cooking Class,Food & Drink,Carmel,5/27/2022,18:00,21:00,-86.1463395,39.9769745,100.00 USD,175.00 USD
184,OutCare's 1st Annual Gala: A Night Out,Medical,Indianapolis,7/9/2022,18:30,23:59,-86.1699845,39.7594157,150.00 USD,1800.00 USD
185,Fishers One Spark! Parade 2022,City/Town,Fishers,5/20/2022,16:45,20:00,-86.009071,39.965047,0.00 USD,0.00 USD
